[Tue Feb 21 08:15:59.177257 2017] [autoindex:error] [pid 5440] [client 132.177.241.156:50764] AH01276: Cannot serve directory /web/daw1002/htdocs/: No matching DirectoryIndex (index.html,index.php) found, and server-generated directory index forbidden by Options directive
[Fri Mar 03 14:56:24.997451 2017] [:error] [pid 26937] [client 132.177.241.156:36200] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 62
[Fri Mar 03 14:56:24.997459 2017] [:error] [pid 26937] [client 132.177.241.156:36200] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 63
[Fri Mar 03 14:56:48.856663 2017] [:error] [pid 31547] [client 132.177.241.156:36206] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /web/daw1002/htdocs/enter.php on line 7, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 14:59:42.112071 2017] [:error] [pid 29030] [client 132.177.241.156:36218] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /web/daw1002/htdocs/enter.php on line 7, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:01:37.947170 2017] [:error] [pid 31547] [client 132.177.241.156:36258] PHP Notice:  Undefined index: lusername in /web/daw1002/htdocs/enter.php on line 3, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:02:58.890009 2017] [:error] [pid 25612] [client 132.177.241.156:36264] PHP Notice:  Undefined index: lusername in /web/daw1002/htdocs/enter.php on line 3, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:04:06.538217 2017] [:error] [pid 29030] [client 132.177.241.156:36270] PHP Notice:  Undefined index: lusername in /web/daw1002/htdocs/enter.php on line 3, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:04:43.068758 2017] [:error] [pid 26682] [client 132.177.241.156:36274] PHP Notice:  Undefined index: lusername in /web/daw1002/htdocs/enter.php on line 3, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:07:05.406445 2017] [:error] [pid 26937] [client 132.177.241.156:36430] PHP Notice:  Undefined index: lusername in /web/daw1002/htdocs/enter.php on line 3, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:07:05.406484 2017] [:error] [pid 26937] [client 132.177.241.156:36430] PHP Notice:  Undefined index: lusername in /web/daw1002/htdocs/enter.php on line 5, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:19:44.947091 2017] [:error] [pid 28969] [client 132.177.241.156:37160] PHP Notice:  Undefined index: lusername in /web/daw1002/htdocs/enter.php on line 3, referer: http://daw1002.sr.unh.edu/index.php
